net,length_um
net62,393.47µm
_18395_,393.16µm
_20460_,393.11µm
net1140,392.86µm
net1432,392.71µm
net653,392.66µm
net54,392.6µm
net242,392.3µm
_20200_,391.99µm
_20331_,391.89µm
net676,391.64µm
net855,391.59µm
net602,391.38µm
net1157,391.28µm
net945,391.18µm
_23515_,391.13µm
net2082,390.92µm
net698,390.6µm
_26014_,390.18µm
_14222_,389.81µm
net507,389.65µm
_23926_,389.3µm
net1189,388.94µm
net482,388.84µm
net861,388.69µm
net1363,388.41µm
net579,388.38µm
clknet_4_7_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,388.38µm
clknet_4_11__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,388.38µm
net254,388.28µm
net1261,388.11µm
net1288,387.92µm
clknet_2_2__leaf_i_core_v_mini_mcu.peripheral_subsystem_i.clk_cg,387.82µm
net360,387.8µm
net142,387.77µm
net891,387.74µm
net647,387.62µm
_20366_,387.41µm
net1057,387.31µm
net1242,387.16µm
_16175_,387.06µm
net1773,387.06µm
_23846_,386.9µm
_20423_,386.75µm
net879,386.75µm
net1026,386.75µm
_12323_,386.72µm
net525,386.7µm
net464,386.65µm
net827,386.6µm
_10405_,386.55µm
_26206_,386.54µm
clknet_4_10__leaf_clk_i_regs,386.09µm
net423,386.04µm
i_core_v_mini_mcu.ao_peripheral_slave_resp\[4\],385.99µm
net1110,385.94µm
net322,385.76µm
net67,385.63µm
net87,385.53µm
net2123,385.5µm
_23899_,385.27µm
_24566_,385.27µm
net626,385.25µm
clknet_4_4__leaf_clk_i_regs,384.97µm
_16310_,384.82µm
net990,384.63µm
_18446_,384.56µm
_15366_,384.31µm
_23893_,383.44µm
net1759,383.44µm
net93,383.19µm
_18385_,383.13µm
net939,382.92µm
net1118,382.78µm
_23948_,382.68µm
net1250,382.68µm
_20581_,382.58µm
net1980,382.17µm
net192,382.02µm
_19048_,381.96µm
net2166,381.51µm
net1106,381.05µm
_27223_,380.79µm
net1164,380.69µm
_23838_,380.54µm
net672,380.34µm
i_core_v_mini_mcu.ao_peripheral_slave_resp\[0\],380.24µm
net649,379.88µm
_12487_,379.83µm
_16262_,379.67µm
_20405_,379.57µm
_20459_,379.47µm
clknet_4_6__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,379.47µm
