Metric,Value
design__max_cap_violation__count__corner:max_tt_025C_5v00,0
clock__skew__worst_hold__corner:max_tt_025C_5v00,1.8333952652761418
clock__skew__worst_setup__corner:max_tt_025C_5v00,2.333395320787295
timing__hold__ws__corner:max_tt_025C_5v00,0.2932176806574386
timing__setup__ws__corner:max_tt_025C_5v00,24.795949106931022
timing__hold__tns__corner:max_tt_025C_5v00,0.0
timing__setup__tns__corner:max_tt_025C_5v00,0.0
timing__hold__wns__corner:max_tt_025C_5v00,0
timing__setup__wns__corner:max_tt_025C_5v00,0.0
timing__hold_vio__count__corner:max_tt_025C_5v00,0
timing__hold_r2r__ws__corner:max_tt_025C_5v00,0.293218
timing__hold_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__setup_vio__count__corner:max_tt_025C_5v00,0
timing__setup_r2r__ws__corner:max_tt_025C_5v00,43.555611
timing__setup_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__unannotated_net__count__corner:max_tt_025C_5v00,453
timing__unannotated_net_filtered__count__corner:max_tt_025C_5v00,0
timing__unannotated_net__count__corner:max_ss_125C_4v50,453
timing__unannotated_net_filtered__count__corner:max_ss_125C_4v50,0
design__max_slew_violation__count__corner:max_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:max_ff_n40C_5v50,1
design__max_cap_violation__count__corner:max_ff_n40C_5v50,0
clock__skew__worst_hold__corner:max_ff_n40C_5v50,1.094399934985338
clock__skew__worst_setup__corner:max_ff_n40C_5v50,1.5943999904964907
timing__hold__ws__corner:max_ff_n40C_5v50,0.07834644266214169
timing__setup__ws__corner:max_ff_n40C_5v50,26.577336639281533
timing__hold__tns__corner:max_ff_n40C_5v50,0.0
timing__setup__tns__corner:max_ff_n40C_5v50,0.0
timing__hold__wns__corner:max_ff_n40C_5v50,0
timing__setup__wns__corner:max_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:max_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:max_ff_n40C_5v50,0.078346
timing__hold_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:max_ff_n40C_5v50,45.786888
timing__setup_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count__corner:max_ff_n40C_5v50,453
timing__unannotated_net_filtered__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count,453
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:max_ss_125C_4v50,4.99991
design_powergrid__drop__average__net:VDD__corner:max_ss_125C_4v50,4.99997
design_powergrid__drop__worst__net:VDD__corner:max_ss_125C_4v50,0.0000879802
design_powergrid__voltage__worst__net:VSS__corner:max_ss_125C_4v50,0.0000837846
design_powergrid__drop__average__net:VSS__corner:max_ss_125C_4v50,0.0000269914
design_powergrid__drop__worst__net:VSS__corner:max_ss_125C_4v50,0.0000837846
design_powergrid__voltage__worst,0.0000837846
design_powergrid__voltage__worst__net:VDD,4.99991
design_powergrid__drop__worst,0.0000879802
design_powergrid__drop__worst__net:VDD,0.0000879802
design_powergrid__voltage__worst__net:VSS,0.0000837846
design_powergrid__drop__worst__net:VSS,0.0000837846
ir__voltage__worst,5
ir__drop__avg,0.0000271000000000000014206517906512061699686455540359020233154296875
ir__drop__worst,0.00008799999999999999771189973518659144247067160904407501220703125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
