net,length_um
net875,438.83µm
_10643_,438.28µm
net1290,437.2µm
net800,437µm
net864,436.44µm
net961,436.44µm
_11006_,436.12µm
net1438,436.11µm
_10682_,435.88µm
_12602_,434.96µm
_24913_,434.81µm
net1205,434.76µm
_14378_,434.15µm
net1518,434.09µm
net1440,433.74µm
i_core_v_mini_mcu.memory_subsystem_i.ram0_i.rdata_o\[0\],433.31µm
net854,432.16µm
net425,432.06µm
net976,431.91µm
net1421,430.99µm
_11008_,430.84µm
net1009,430.23µm
_10747_,429.87µm
_05782_,429.82µm
i_core_v_mini_mcu.peripheral_slave_resp\[26\],429.72µm
_19631_,429.21µm
_12485_,428.65µm
_17017_,428.14µm
net806,428.14µm
_19514_,428.04µm
net1042,428.04µm
_12445_,427.94µm
net813,427.73µm
_24394_,427.68µm
net512,427.68µm
net968,427.53µm
net519,427.43µm
_21518_,427.38µm
net1465,427.27µm
_14542_,426.92µm
net857,426.51µm
_19672_,426.28µm
net746,426.05µm
net859,426.03µm
i_core_v_mini_mcu.peripheral_slave_resp\[8\],426µm
i_core_v_mini_mcu.peripheral_slave_resp\[23\],425.9µm
net433,425.8µm
_10645_,425.78µm
_11568_,425.63µm
net1237,425.55µm
_10724_,425.39µm
net1348,424.69µm
net974,424.63µm
_26128_,424.04µm
_21510_,423.97µm
i_core_v_mini_mcu.core_data_req\[14\],423.76µm
_14531_,423.61µm
net1347,423µm
i_core_v_mini_mcu.peripheral_slave_resp\[7\],422.9µm
net419,422.8µm
i_core_v_mini_mcu.peripheral_slave_resp\[17\],422.39µm
net743,422.29µm
net1414,421.99µm
net856,421.06µm
_14036_,421.01µm
_14537_,420.79µm
net260,420.71µm
i_core_v_mini_mcu.core_data_req\[13\],420.35µm
_10704_,420.3µm
net365,420.25µm
_25909_,420.24µm
_12457_,420.2µm
net1642,420.2µm
net1340,419.59µm
net1651,419.13µm
_14509_,419.03µm
_20405_,418.9µm
_05664_,418.52µm
_18542_,418.24µm
net1425,418.16µm
net302,418.11µm
net1928,418.11µm
_14490_,418.06µm
_14552_,418.05µm
net1452,417.96µm
net515,417.84µm
i_core_v_mini_mcu.core_data_req\[17\],417.5µm
net1445,417.5µm
net931,417.4µm
_16442_,417.17µm
clknet_4_14_0_clk_i_regs,417.04µm
net1563,417.01µm
net1311,416.69µm
_13981_,416.48µm
net436,415.82µm
net1473,415.82µm
net521,415.7µm
net230,415.4µm
_24415_,415.38µm
net808,415.16µm
_16441_,415.15µm
_24502_,415.05µm
_21625_,414.6µm
net362,413.96µm
net1251,413.81µm
net809,413.71µm
net1271,413.66µm
net1346,413.53µm
net1600,413.53µm
_10705_,413.33µm
net952,413.18µm
_17633_,412.97µm
_09496_,412.38µm
net228,412.36µm
i_core_v_mini_mcu.cpu_subsystem_i.hart_clock_enable_1_0,412.31µm
_24376_,412.26µm
net411,412.26µm
_25528_,412.15µm
_24468_,411.9µm
net979,411.8µm
_14562_,411.49µm
_14515_,411.24µm
