net,length_um
clknet_4_1__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,438.22µm
_06782_,437.81µm
net934,437.66µm
_25896_,437.25µm
net338,437.1µm
_06034_,437.05µm
net671,436.59µm
_16447_,436.34µm
net448,436.34µm
_06887_,436.23µm
_11376_,436.13µm
net329,436.08µm
net333,436.08µm
net769,436.08µm
net307,435.48µm
net517,435.12µm
_12475_,434.94µm
_06415_,434.81µm
_14383_,434.81µm
_25752_,434.81µm
net339,434.76µm
net1316,434.61µm
_19349_,434.12µm
net778,433.79µm
_12423_,433.59µm
net437,433.59µm
net29,433.18µm
_15903_,432.98µm
net826,432.69µm
_15433_,432.62µm
net882,432.62µm
net1031,432.62µm
net827,432.56µm
_07464_,432.52µm
net1112,432.52µm
_12377_,431.96µm
net745,431.91µm
_24781_,431.83µm
net443,431.4µm
_24144_,431.19µm
_10571_,430.94µm
net783,430.28µm
net614,430.23µm
net612,429.82µm
net675,429.82µm
_16400_,429.31µm
net780,429.26µm
net545,429.16µm
_12522_,428.55µm
clknet_3_0_0_clk_i_regs,428.55µm
net649,428.16µm
_24396_,428.06µm
_14113_,427.63µm
_18901_,427.63µm
net749,427.53µm
net876,427.53µm
net866,427.48µm
net539,426.87µm
net678,426.82µm
_05730_,426.61µm
_10606_,426.56µm
_24627_,426.41µm
_21367_,426.31µm
net830,426.31µm
_09169_,425.95µm
_15436_,425.71µm
net602,425.7µm
_17509_,425.42µm
net846,425.24µm
_24755_,425.19µm
_07241_,425.03µm
_10615_,424.83µm
net885,424.73µm
net299,424.68µm
_14415_,424.37µm
_24790_,424.22µm
net664,423.99µm
_21327_,423.46µm
clknet_1_0__leaf_clk_i,422.85µm
_10880_,422.8µm
net451,422.77µm
net502,422.34µm
_12404_,422.13µm
net457,421.98µm
_10901_,421.45µm
_24752_,421.42µm
net386,421.37µm
net379,421.01µm
_26213_,420.45µm
_12580_,420.35µm
_24115_,419.74µm
_17161_,418.72µm
_16394_,418.6µm
net530,418.52µm
_12362_,417.96µm
_21260_,417.6µm
_06033_,417.55µm
net662,417.55µm
_24217_,416.99µm
net291,416.84µm
_06893_,416.43µm
_15535_,416.23µm
_26129_,415.92µm
net573,415.72µm
net287,415.46µm
_05947_,415.11µm
_18873_,415.11µm
_25114_,414.9µm
net822,414.75µm
