net,length_um
_23081_,377.86µm
_26049_,377.84µm
_17509_,377.74µm
net683,377.68µm
net1453,377.49µm
_09336_,377.46µm
_05627_,377.18µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.tdu_i.rd_ptr_q\[1\],377.03µm
_16840_,376.98µm
_19777_,376.98µm
_10813_,376.8µm
net1657,376.47µm
net870,375.99µm
net777,375.96µm
net815,375.96µm
_24139_,375.65µm
_23097_,375.35µm
net1533,375.35µm
_26299_,375.2µm
_22423_,375.04µm
_12389_,374.94µm
_12408_,374.84µm
net1701,374.79µm
_16338_,374.63µm
_07353_,374.53µm
_10881_,374.52µm
net1506,374.52µm
net863,374.38µm
_20487_,374.26µm
net1303,373.96µm
clknet_4_13_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,373.82µm
net1635,373.62µm
_12406_,373.31µm
_06139_,373.16µm
net1515,373.16µm
_07462_,373.15µm
_07439_,373.05µm
_13983_,372.96µm
_24111_,372.9µm
_12564_,372.72µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.tdu_i.task_mem\[4\]\[2\],372.46µm
net1577,372.19µm
i_core_v_mini_mcu.peripheral_subsystem_i.obi_fifo_i.consumer_data_req\[20\],371.94µm
net1711,371.88µm
net1432,371.68µm
_10799_,371.36µm
net1592,371.33µm
net1686,371.12µm
i_core_v_mini_mcu.peripheral_subsystem_i.obi_fifo_i.consumer_data_req\[27\],370.77µm
net926,370.76µm
_11448_,370.36µm
_16836_,370.36µm
_18450_,370.36µm
net1713,370.36µm
_12459_,370.26µm
_14395_,369.84µm
net1611,369.52µm
net227,369.44µm
net1621,369.14µm
_19359_,368.83µm
_20531_,368.76µm
net1616,368.37µm
net1702,368.32µm
_14472_,368.17µm
_10807_,368.04µm
_20568_,367.96µm
net928,367.91µm
i_core_v_mini_mcu.peripheral_subsystem_i.obi_fifo_i.consumer_data_req\[34\],367.51µm
_14335_,367.46µm
net357,366.95µm
clknet_4_2_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,366.95µm
_23071_,366.62µm
net1576,366.44µm
_12310_,366.21µm
_12314_,365.93µm
_22723_,365.8µm
_22749_,365.78µm
net906,365.52µm
_22429_,365.42µm
clknet_4_10_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,365.42µm
net1463,365.37µm
net1370,365.32µm
net1677,365.32µm
_21001_,365.22µm
_12480_,365.17µm
_22531_,365.1µm
_05963_,364.76µm
_07480_,364.71µm
net1600,364.2µm
net349,364.15µm
net489,363.39µm
net1343,363.33µm
_26289_,363.28µm
_24147_,363.18µm
_05848_,363.13µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.tdu_i.task_mem\[1\]\[0\],363.07µm
net864,362.93µm
net411,362.62µm
_26063_,362.47µm
_07531_,362.32µm
net672,362.06µm
net524,361.91µm
_06904_,361.81µm
_22654_,361.57µm
_27523_,361.45µm
_26173_,361.35µm
_10754_,361.14µm
clknet_5_26__leaf_clk_i_regs,361µm
_06434_,360.84µm
_22541_,360.69µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.tdu_i.task_mem\[0\]\[7\],360.29µm
net534,360.28µm
_20431_,360.13µm
net922,359.95µm
_17516_,359.81µm
clknet_4_7_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,359.77µm
clknet_4_6_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,359.21µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.tdu_i.task_mem\[4\]\[7\],359.18µm
_05956_,359.16µm
net731,359.16µm
clknet_1_0__leaf_clk_i,359.06µm
_10761_,359.01µm
_14123_,359.01µm
net734,358.7µm
_09663_,358.5µm
_26220_,358.19µm
_05982_,358.16µm
_05805_,358.04µm
net1237,357.94µm
net499,357.66µm
net20,357.38µm
clknet_4_6_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,356.92µm
net1460,356.92µm
_18632_,356.87µm
net436,356.87µm
_12596_,356.82µm
_12337_,356.77µm
_06423_,356.65µm
_16947_,356.31µm
net1408,355.85µm
net1279,355.8µm
net1639,355.7µm
_05987_,355.65µm
net1349,355.49µm
_06490_,355.39µm
_20377_,355.34µm
net1456,354.73µm
net599,354.58µm
_10867_,354.27µm
net945,353.81µm
_14243_,353.47µm
net589,353.46µm
clknet_4_14_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,353µm
net486,352.9µm
_18506_,352.85µm
_13909_,352.74µm
_17712_,352.74µm
net947,352.59µm
_25082_,352.49µm
_06790_,352.47µm
net384,352.39µm
net1559,352.39µm
_06399_,352.38µm
_17548_,352.21µm
exit_value_int\[0\],352.15µm
_06412_,352.08µm
_05916_,351.98µm
_25832_,351.88µm
_16342_,351.83µm
net804,351.78µm
_06526_,351.57µm
_16323_,351.38µm
_14340_,351.37µm
net666,351.32µm
_14319_,351.27µm
net1496,351.27µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.tdu_i.task_mem\[3\]\[9\],350.95µm
clknet_4_4_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,350.81µm
net1422,350.76µm
net387,350.66µm
net403,350.66µm
_07548_,350.58µm
net1323,350.41µm
net1519,350.36µm
net280,350.3µm
net940,350.28µm
_18448_,350.05µm
net1705,349.69µm
net936,349.59µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.tdu_i.task_mem\[4\]\[4\],349.47µm
_23204_,349.43µm
_10756_,349.28µm
