net,length_um
net1642,396.22µm
net442,396.02µm
net1258,396.02µm
_16746_,395.4µm
_10600_,395.35µm
net1608,395.15µm
net751,395.1µm
net759,395.1µm
_26374_,395.07µm
_08380_,394.9µm
_11029_,394.9µm
net595,394.9µm
net844,394.57µm
_05909_,394.44µm
net1727,394.44µm
net435,394.39µm
_12317_,394.29µm
_14467_,394.03µm
_05843_,393.88µm
_19777_,393.83µm
net461,393.32µm
net820,393.32µm
_25683_,393.12µm
i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.i_servile.cpu.immdec.gen_immdec_w_eq_1.imm11_7\[0\],392.86µm
net334,392.86µm
_16947_,392.81µm
net390,392.81µm
_20750_,392.76µm
net681,392.3µm
net903,392.27µm
_10569_,392.1µm
_12316_,391.94µm
net941,391.84µm
net598,391.69µm
_26092_,391.44µm
net650,391.41µm
_12356_,391.15µm
net1586,390.23µm
net540,390.01µm
net1550,389.86µm
net560,389.5µm
_12326_,389.45µm
_24124_,389.14µm
_25989_,388.59µm
_20377_,388.58µm
_14233_,388.38µm
net315,388.38µm
net279,388.23µm
net1501,388.18µm
net285,387.94µm
net1672,387.77µm
_24521_,387.26µm
_10794_,387.16µm
net1511,387.16µm
net409,387.11µm
_16430_,386.7µm
net487,386.65µm
net1536,386.55µm
clknet_4_14__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,386.36µm
net1382,386.19µm
net1453,386.19µm
net868,386.17µm
net392,386.04µm
_05710_,385.99µm
_25992_,385.58µm
_12476_,385.53µm
_13938_,385.53µm
net667,385.33µm
_25354_,385.07µm
_10756_,385.02µm
_12378_,384.92µm
net589,384.87µm
net686,384.87µm
_21377_,384.41µm
_18208_,384.26µm
net1425,384.1µm
_14330_,384.07µm
net1488,383.9µm
clknet_4_3__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,383.34µm
clknet_3_4_0_clk_i_regs,383.24µm
_06611_,383.21µm
_10595_,382.83µm
_17543_,382.78µm
_20760_,382.73µm
_12541_,382.63µm
_18400_,382.35µm
_25097_,382.32µm
net1480,382.12µm
net1617,382.12µm
_10846_,382.07µm
net570,382.02µm
net546,381.79µm
_09168_,381.51µm
net1593,381.38µm
net1674,381.3µm
_26299_,380.73µm
net1580,379.88µm
net1601,379.77µm
_09161_,379.62µm
net644,379.42µm
net477,379.37µm
_17489_,379.24µm
_04632_,378.91µm
_25841_,378.9µm
_24079_,378.76µm
net292,378.35µm
net1424,378.15µm
net1439,378.15µm
_08224_,377.49µm
_12621_,377.33µm
net720,377.28µm
_07168_,377.23µm
net463,376.98µm
net700,376.62µm
net1114,376.52µm
net561,376.42µm
_10814_,376.31µm
_18313_,376.01µm
net1385,376.01µm
net501,375.86µm
net1551,375.49µm
_10973_,375.4µm
net878,375.4µm
net397,374.94µm
net1537,374.89µm
_05661_,374.84µm
net915,374.33µm
net547,374.07µm
_12376_,373.97µm
net772,373.72µm
net1455,373.67µm
_24152_,373.54µm
_26173_,373.26µm
net324,373.16µm
_25888_,373.12µm
net947,372.96µm
_24147_,372.85µm
_26205_,372.8µm
net1662,372.8µm
net1452,372.29µm
net301,372.14µm
net1483,372.04µm
net818,372.02µm
_06813_,371.68µm
net391,371.63µm
clknet_3_3_0_clk_i_regs,371.58µm
_05927_,371.33µm
_24189_,371.22µm
_12349_,370.82µm
net490,370.82µm
_07000_,370.51µm
_18851_,370.51µm
_07439_,370.45µm
net1628,370.21µm
_12458_,370.04µm
net486,369.97µm
net1409,369.69µm
net1626,369.65µm
_25484_,369.39µm
net1675,369.39µm
net1320,369.34µm
_18210_,369.29µm
net962,368.98µm
net231,368.83µm
net1457,368.58µm
net1556,368.58µm
_06970_,368.17µm
_14319_,368.12µm
net1687,367.94µm
_24241_,367.91µm
_06484_,367.76µm
net1317,367.76µm
_16675_,367.63µm
_12816_,367.25µm
_20758_,366.64µm
net1323,366.64µm
_10610_,366.39µm
_16952_,366.39µm
net1472,366.39µm
net1573,366.03µm
_06833_,365.98µm
_08990_,365.98µm
_20664_,365.93µm
_11059_,365.88µm
net1433,365.67µm
_25052_,365.62µm
_12397_,365.54µm
_25416_,365.47µm
net620,365.37µm
net1306,365.37µm
_16388_,365.15µm
_10567_,365.12µm
net711,365.05µm
_17716_,364.86µm
net1375,364.76µm
_12363_,364.66µm
net1692,364.53µm
_10792_,364.35µm
_05546_,364.33µm
_24977_,363.76µm
net1338,363.74µm
net1481,363.64µm
_05926_,362.98µm
_18757_,362.93µm
_25583_,362.2µm
net529,362.19µm
net1577,362.11µm
_12403_,361.86µm
_20487_,361.5µm
_10799_,361.4µm
_10793_,360.99µm
_08466_,360.84µm
_05533_,360.74µm
net535,360.58µm
net167,360.39µm
_25832_,360.38µm
net1420,360.38µm
_12746_,360.18µm
_12420_,360.17µm
_05550_,359.77µm
net847,359.67µm
_14288_,359.57µm
_24249_,359.16µm
_19335_,358.5µm
_26145_,358.29µm
net1610,358.14µm
net694,357.93µm
net1513,357.86µm
_21419_,357.48µm
_25604_,357.43µm
_24111_,357.02µm
clknet_4_9__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,356.97µm
_12379_,356.87µm
net351,356.71µm
_24240_,356.56µm
_26067_,356.51µm
_16956_,356.16µm
net1592,356.15µm
net1307,355.95µm
net1623,355.72µm
net1461,355.7µm
net1612,355.54µm
_20754_,355.39µm
clknet_4_12__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,355.39µm
net924,355.34µm
net603,355.32µm
_24239_,355.24µm
_26259_,355.08µm
_26049_,354.78µm
_12395_,354.58µm
_08824_,354.53µm
net214,354.48µm
_12348_,354.12µm
_12415_,354.12µm
_10547_,354.02µm
_20568_,353.76µm
_25251_,353.71µm
_10903_,353.51µm
net372,353.51µm
_18458_,353.2µm
net1566,353.15µm
net925,352.8µm
_27403_,352.79µm
_06789_,352.54µm
_12445_,352.41µm
_14008_,352.39µm
net862,352.25µm
_24250_,351.88µm
_26592_,351.83µm
_12350_,351.37µm
clknet_4_10__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,351.37µm
net1456,351.37µm
_24091_,350.86µm
_17028_,350.81µm
_25317_,350.81µm
net654,350.76µm
_08264_,350.71µm
_25386_,350.66µm
_08343_,350.61µm
net1611,350.45µm
_10679_,350.36µm
net365,350.3µm
net755,350.29µm
_05627_,350.25µm
_12573_,350.25µm
_17548_,350.25µm
_12459_,350.1µm
_16721_,349.54µm
clknet_3_5_0_clk_i_regs,349.54µm
_10840_,349.4µm
_25252_,349.23µm
net38,349.13µm
net1490,348.98µm
_25285_,348.93µm
_17552_,348.7µm
_11367_,348.49µm
_05898_,348.47µm
_10918_,348.47µm
_25784_,348.12µm
_16725_,348.02µm
_21386_,348.01µm
_07120_,347.91µm
_26364_,347.91µm
_19289_,347.7µm
_06613_,347.35µm
net1636,347.09µm
net1658,347.04µm
clknet_4_6__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,346.94µm
_05813_,346.89µm
_12535_,346.79µm
_06434_,346.74µm
net1565,346.58µm
_16671_,346.43µm
_10702_,346.33µm
_16413_,346.33µm
net418,346.23µm
_24237_,345.97µm
net1535,345.72µm
clknet_4_3_0_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,345.67µm
_14340_,345.26µm
_18931_,345.21µm
_08023_,345.01µm
net1568,344.8µm
net1512,344.65µm
_18840_,344.55µm
_25943_,344.55µm
_19572_,344.45µm
_14864_,344.33µm
net1604,343.99µm
_18839_,343.71µm
_25826_,343.53µm
_12389_,343.48µm
_24107_,343.38µm
net1587,343.12µm
_26033_,343.07µm
_20752_,342.92µm
_12450_,342.82µm
_22984_,342.82µm
_18357_,342.56µm
net596,342.41µm
_06491_,342.36µm
_06840_,342.31µm
spi_flash_sd_io[1],342.29µm
_08302_,342.21µm
_06979_,342.1µm
_12585_,341.44µm
net610,341.36µm
_06478_,341.34µm
net1643,341.29µm
_24130_,341.04µm
_05552_,340.98µm
_24118_,340.93µm
_24928_,340.73µm
_12341_,340.68µm
_18245_,340.68µm
net1574,340.68µm
_10724_,340.63µm
_17024_,340.32µm
net1313,340.27µm
_19040_,340.02µm
net474,340.02µm
net1557,339.81µm
net1602,339.71µm
_10844_,339.61µm
_18885_,339.46µm
net280,339.46µm
net916,339.15µm
net1637,339.1µm
net1603,338.9µm
net581,338.77µm
net538,338.72µm
net1440,338.69µm
_07436_,338.64µm
_05932_,338.59µm
_24199_,338.59µm
net1462,338.57µm
net1670,338.57µm
net621,338.54µm
_16334_,338.49µm
_18448_,338.18µm
_12310_,337.73µm
clknet_4_5__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,337.42µm
_12429_,337.37µm
_14441_,336.91µm
_05972_,336.86µm
net1491,336.71µm
_22865_,336.61µm
net1039,336.6µm
net25,336µm
net637,335.71µm
net659,335.69µm
_17500_,335.47µm
_15471_,335.28µm
net910,335.18µm
_12360_,335.09µm
_20454_,335.08µm
_05602_,334.67µm
_18716_,334.49µm
net779,334.36µm
net908,334.16µm
_20663_,334.11µm
net793,334.06µm
net26,333.98µm
_10596_,333.97µm
_06677_,333.96µm
clknet_3_2_0_clk_i_regs,333.96µm
net1653,333.86µm
_25158_,333.55µm
_20607_,333.09µm
_08065_,332.89µm
net1206,332.84µm
_06929_,332.61µm
net945,332.43µm
net1347,332.43µm
_12315_,331.9µm
_12411_,331.72µm
net1468,331.67µm
_12339_,331.57µm
net1567,331.36µm
_14175_,331.26µm
_20743_,331.11µm
_07289_,331.08µm
net687,331.06µm
_04633_,330.93µm
_25621_,330.75µm
net796,330.7µm
net1605,330.7µm
_05593_,330.6µm
_11352_,330.55µm
net1589,330.04µm
_19165_,329.57µm
_14452_,329.48µm
net1379,329.44µm
_06009_,329.38µm
i_core_v_mini_mcu.core_data_req\[8\],328.97µm
spi_flash_sd_io[2],328.68µm
_07828_,328.66µm
net1679,328.61µm
_07046_,328.46µm
_07349_,328.28µm
_19081_,328.21µm
_27408_,328.05µm
_05883_,327.9µm
_19323_,327.85µm
_06481_,327.83µm
net1555,327.8µm
net1619,327.52µm
_13909_,327.29µm
net552,327.24µm
_12556_,327.19µm
_16407_,326.63µm
_10597_,326.27µm
_24253_,325.66µm
net1606,325.66µm
_12382_,325.56µm
clknet_4_9_0_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,325.51µm
_06874_,325.36µm
_24618_,325.3µm
_12836_,325.29µm
spi_flash_sd_io[0],325.27µm
net758,325.26µm
clknet_4_4__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,325.1µm
_07124_,325.05µm
_24101_,325.05µm
_10878_,325µm
net744,324.95µm
net239,324.9µm
net1667,324.88µm
_19654_,324.85µm
_24328_,324.54µm
net633,324.52µm
_24332_,324.49µm
clknet_4_11__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,324.49µm
_10833_,324.39µm
net1020,323.98µm
_12406_,323.95µm
_16500_,323.93µm
_20756_,323.93µm
net889,323.88µm
net1111,323.88µm
net1583,323.73µm
net799,323.32µm
clknet_3_7_0_clk_i_regs,323.27µm
_05596_,323.22µm
_09520_,323.17µm
net954,323.17µm
_16382_,323.14µm
_11351_,322.86µm
net1438,322.74µm
_22867_,322.71µm
_06790_,322.4µm
net28,322.35µm
net1585,322.3µm
_24432_,322.25µm
net1197,322.15µm
_19736_,322.1µm
net1366,322.1µm
_08109_,322.05µm
net32,322.05µm
_26297_,321.89µm
net912,321.84µm
net1479,321.79µm
net1043,321.48µm
_12338_,321.18µm
net987,321.18µm
net1552,321.13µm
_12387_,320.72µm
_07927_,320.47µm
_10366_,320.34µm
_10618_,320.01µm
net632,319.96µm
_08186_,319.86µm
_07004_,319.5µm
_07499_,319.27µm
_07737_,319.25µm
_15838_,319.24µm
_24174_,319.09µm
net891,318.89µm
net1210,318.84µm
net1582,318.79µm
_07462_,318.74µm
_11354_,318.58µm
_24526_,318.58µm
net1427,318.38µm
_12381_,318.23µm
_12467_,317.82µm
_24862_,317.36µm
net658,317.21µm
