net,length_um
i_core_v_mini_mcu.ao_peripheral_subsystem_i.soc_ctrl_i.reg2hw\[35\],364.66µm
net271,364.66µm
_18940_,364.61µm
_25330_,364.09µm
_12479_,363.81µm
net1791,363.74µm
_12663_,363.49µm
_09671_,363.03µm
net1778,362.98µm
_19039_,362.93µm
_05706_,362.88µm
net1789,362.57µm
_25564_,362.51µm
net586,362.47µm
_05626_,362.44µm
_19465_,362.24µm
net1814,362.21µm
net429,362.01µm
_20841_,361.91µm
net1768,361.91µm
net75,361.45µm
_10705_,360.84µm
net92,360.28µm
_19209_,360.18µm
net1367,360.01µm
_05818_,359.57µm
net868,359.54µm
net1,359.11µm
net1374,358.95µm
net1348,358.8µm
net1520,358.8µm
net1540,358.46µm
net880,358.09µm
_12584_,358.04µm
_18771_,358.04µm
_10960_,358.01µm
net1740,357.89µm
_05615_,357.68µm
clknet_4_3_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,357.53µm
net1737,357.17µm
net490,357.12µm
_14123_,357.05µm
net1425,357.02µm
_18531_,356.92µm
net345,356.82µm
net837,356.46µm
net316,356.44µm
net1765,356.2µm
clknet_4_9_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,356.05µm
net1562,356µm
_12447_,355.39µm
_07487_,355.34µm
_14388_,355.34µm
_14143_,355.19µm
_18370_,355.14µm
net332,355.09µm
clknet_4_5_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,354.73µm
_24449_,354.68µm
net36,354.62µm
_12481_,354.22µm
_16994_,354.17µm
net546,354.02µm
net377,353.49µm
_16492_,353.1µm
_25234_,352.97µm
net544,352.85µm
_16583_,352.81µm
net1798,352.75µm
_09603_,352.74µm
_11124_,352.45µm
clknet_4_3_0_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,352.44µm
net374,352.39µm
_25517_,351.75µm
net1733,351.27µm
_19443_,351.21µm
net1677,350.3µm
_10763_,350.1µm
net1744,349.79µm
_05851_,349.74µm
_18813_,349.64µm
net20,349.54µm
_18532_,349.33µm
_19422_,349.18µm
net622,348.76µm
_10260_,348.57µm
_17885_,348.56µm
net1736,348.47µm
net809,348.46µm
net456,348.37µm
net554,348.27µm
net1675,348.11µm
net1183,347.81µm
_26253_,347.4µm
_10553_,347.35µm
net390,346.69µm
_11676_,346.33µm
_06460_,345.77µm
clknet_5_26__leaf_clk_i_regs,345.72µm
_06444_,345.31µm
clknet_4_10_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,345.21µm
net503,344.55µm
_19944_,344.45µm
_14389_,344.32µm
clknet_4_12_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,344.14µm
net963,344.13µm
_16577_,344.04µm
_12552_,343.98µm
_15161_,343.94µm
i_core_v_mini_mcu.core_data_req\[25\],343.94µm
_10715_,343.81µm
net1807,343.75µm
_16022_,343.48µm
_23697_,343.48µm
clknet_4_2_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,343.48µm
clknet_4_6_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,342.97µm
net187,342.87µm
_06038_,342.51µm
net571,342.31µm
net859,341.9µm
net1752,341.85µm
_18854_,341.8µm
_10706_,341.44µm
_06678_,341.39µm
_10868_,341.39µm
net607,341.24µm
net661,340.98µm
_09664_,340.88µm
net686,340.85µm
net325,340.73µm
net789,340.17µm
clknet_4_1_0_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,340.12µm
net1078,340.07µm
net1679,340.05µm
_17182_,339.56µm
_05905_,339.49µm
_10838_,339.46µm
net1810,339.41µm
_14374_,339.1µm
_17138_,339.1µm
_10713_,339.05µm
clknet_4_12_0_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,339µm
_26436_,338.69µm
net337,338.5µm
_06450_,338.49µm
_24377_,338.49µm
net543,338.49µm
_12585_,337.98µm
net771,337.98µm
_10866_,337.94µm
_08757_,337.93µm
_05801_,337.78µm
_14031_,337.73µm
_06458_,337.47µm
net891,337.32µm
i_core_v_mini_mcu.core_data_req\[27\],337.22µm
_12419_,337.1µm
_12548_,336.66µm
net521,336.61µm
net1770,336.45µm
_14140_,336.38µm
_13059_,336.25µm
_14910_,336.25µm
net1177,336.2µm
_12429_,336.17µm
_14126_,336.15µm
clknet_5_10__leaf_clk_i_regs,336.15µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.tdu_i.active_hart_cycles_q\[1\],335.82µm
_18989_,335.74µm
net597,335.69µm
_11070_,335.44µm
_26056_,335.23µm
_18960_,335.18µm
_12843_,335.08µm
net1685,334.93µm
net401,334.88µm
_26218_,334.67µm
i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.i_servile.arbiter.i_wb_cpu_ibus_adr\[0\],334.62µm
net276,334.62µm
net1059,334.52µm
_26569_,334.11µm
_11090_,334.01µm
_14243_,333.86µm
_15639_,333.84µm
_25145_,333.6µm
net678,333.54µm
_16026_,333.5µm
_23282_,333.5µm
net269,333.42µm
net1515,333.4µm
_11208_,333.3µm
_05629_,332.94µm
_14269_,332.89µm
net1811,332.84µm
i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.i_servile.arbiter.i_wb_cpu_dbus_we,332.74µm
net740,332.69µm
net1424,332.69µm
net834,332.57µm
_05942_,332.33µm
net1661,332.33µm
_09628_,332.28µm
_12823_,332.23µm
_15354_,332.23µm
_20698_,331.77µm
_14231_,331.67µm
_15405_,331.62µm
_26695_,331.36µm
_14309_,331.26µm
_10889_,331.11µm
_10934_,330.98µm
_05716_,330.96µm
_06977_,330.88µm
net824,330.75µm
net1698,330.74µm
_10951_,330.65µm
net874,330.23µm
_10916_,330.18µm
net595,330.09µm
net25,329.84µm
net236,329.73µm
clknet_4_13_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,329.58µm
net477,329.38µm
net875,329.02µm
net1793,329.02µm
_12779_,328.97µm
net620,328.92µm
net866,328.92µm
net1566,328.92µm
clknet_5_27__leaf_clk_i_regs,328.87µm
net181,328.82µm
net1346,328.77µm
_12635_,328.61µm
_14359_,328.36µm
net487,328.18µm
net1584,327.9µm
_21528_,327.8µm
_14050_,327.74µm
_08090_,327.65µm
net172,327.39µm
net872,327.03µm
net714,326.86µm
_20981_,326.78µm
net614,326.6µm
net11,326.58µm
_12699_,326.44µm
_19562_,326.22µm
_25173_,326.12µm
net169,326.12µm
clknet_5_4__leaf_clk_i_regs,326.12µm
net1548,326.02µm
_12470_,325.71µm
_06993_,325.66µm
_12764_,325.66µm
net280,325.46µm
_12923_,325.41µm
net1676,325.37µm
net1631,325.2µm
clknet_4_8_0_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,325µm
_11210_,324.95µm
i_core_v_mini_mcu.memory_subsystem_i.ram0_i.rdata_o\[14\],324.9µm
_06405_,324.88µm
_06980_,324.64µm
_26248_,324.64µm
i_core_v_mini_mcu.core_data_req\[30\],324.57µm
_06819_,324.54µm
_14596_,324.49µm
net1427,323.98µm
net1529,323.93µm
net76,323.88µm
net1773,323.88µm
_15150_,323.83µm
_15823_,323.83µm
net399,323.83µm
_05922_,323.82µm
_12689_,323.73µm
net877,323.42µm
_19123_,323.37µm
net975,323.37µm
_26562_,323.24µm
_09747_,322.76µm
clknet_3_2__leaf_i_core_v_mini_mcu.peripheral_subsystem_i.clk_cg,322.76µm
_25850_,322.71µm
_05736_,322.61µm
_10885_,322.48µm
_05879_,322.42µm
_10898_,322.3µm
_10975_,322.3µm
net1365,322.3µm
_06973_,322.2µm
_07772_,322.2µm
_05768_,322.05µm
_18527_,322.05µm
net1509,321.84µm
_25239_,321.69µm
_12631_,321.59µm
_17674_,321.47µm
net1388,321.18µm
_05834_,321.13µm
_06901_,321.13µm
_08186_,320.88µm
_17870_,320.85µm
_16566_,320.57µm
_14079_,320.52µm
_18368_,320.42µm
_26622_,320.42µm
_07257_,320.16µm
net847,320.16µm
_21871_,320.11µm
net1832,320.01µm
net873,319.91µm
_09662_,319.72µm
_05826_,319.65µm
_16578_,319.55µm
_13022_,319.5µm
net180,319.11µm
net1682,319.07µm
_19424_,319.04µm
_06411_,318.94µm
